GEOID10,CBSA,METRO_NAME,HRS2010,INTERVAL2010
44007013702,39300,"Providence-Warwick, RI-MA",1.00,1
36119006700,35620,"New York-Newark-Jersey City, N",1.00,1
48453001604,12420,"Austin-Round Rock, TX",1.00,1
31055004600,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
06001404501,41860,"San Francisco-Oakland-Hayward,",1.00,1
27123036300,33460,Minneapolis-St. Paul-Bloomingt,1.00,1
31055004700,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
36061012000,35620,"New York-Newark-Jersey City, N",1.00,1
36061012800,35620,"New York-Newark-Jersey City, N",1.00,1
36061012200,35620,"New York-Newark-Jersey City, N",1.00,1
42003473200,38300,"Pittsburgh, PA",1.00,1
31055004500,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
36061016001,35620,"New York-Newark-Jersey City, N",1.00,1
27123035100,33460,Minneapolis-St. Paul-Bloomingt,1.00,1
40143004301,46140,"Tulsa, OK",1.00,1
31055004800,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
31055003600,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
26163542200,19820,"Detroit-Warren-Dearborn, MI",1.00,1
18097320800,26900,"Indianapolis-Carmel-Anderson,",1.00,1
47037017901,34980,Nashville-Davidson--Murfreesbo,1.00,1
19153002900,19780,"Des Moines-West Des Moines, IA",1.00,1
49035103700,41620,"Salt Lake City, UT",1.00,1
39035183604,17460,"Cleveland-Elyria, OH",1.00,1
26163538600,19820,"Detroit-Warren-Dearborn, MI",1.00,1
48201312700,26420,Houston-The Woodlands-Sugar La,1.00,1
47037017902,34980,Nashville-Davidson--Murfreesbo,1.00,1
19193001000,43580,"Sioux City, IA-NE-SD",1.00,1
31055004400,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
36061013000,35620,"New York-Newark-Jersey City, N",1.00,1
42101027000,37980,Philadelphia-Camden-Wilmington,1.00,1
26163501000,19820,"Detroit-Warren-Dearborn, MI",1.00,1
26163538500,19820,"Detroit-Warren-Dearborn, MI",1.00,1
36061014200,35620,"New York-Newark-Jersey City, N",1.00,1
42079200600,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
31055003700,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
31109002001,30700,"Lincoln, NE",1.00,1
36061015002,35620,"New York-Newark-Jersey City, N",1.00,1
36061015001,35620,"New York-Newark-Jersey City, N",1.00,1
39095001301,45780,"Toledo, OH",1.00,1
39113020300,19380,"Dayton, OH",1.00,1
47037017702,34980,Nashville-Davidson--Murfreesbo,1.00,1
06037670326,31100,"Los Angeles-Long Beach, CA",1.00,1
31055006604,36540,"Omaha-Council Bluffs, NE-IA",1.00,1
09003497500,25540,Hartford-West Hartford-East Ha,1.00,1
49035103600,41620,"Salt Lake City, UT",1.00,1
06037124903,31100,"Los Angeles-Long Beach, CA",1.00,1
18097321900,26900,"Indianapolis-Carmel-Anderson,",1.00,1
48201313000,26420,Houston-The Woodlands-Sugar La,1.00,1
48113019502,19100,"Dallas-Fort Worth-Arlington, T",1.00,1
29189216200,41180,"St. Louis, MO-IL",1.00,1
36061011402,35620,"New York-Newark-Jersey City, N",1.00,1
20173007400,48620,"Wichita, KS",1.00,1
42101037500,37980,Philadelphia-Camden-Wilmington,1.00,1
26163538200,19820,"Detroit-Warren-Dearborn, MI",1.00,1
42101023500,37980,Philadelphia-Camden-Wilmington,1.00,1
40143004500,46140,"Tulsa, OK",1.00,1
47037017701,34980,Nashville-Davidson--Murfreesbo,1.00,1
25025120105,14460,"Boston-Cambridge-Newton, MA-NH",1.00,1
06037700700,31100,"Los Angeles-Long Beach, CA",1.00,1
42079200400,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
39035183502,17460,"Cleveland-Elyria, OH",1.00,1
49035104100,41620,"Salt Lake City, UT",1.00,1
06037651304,31100,"Los Angeles-Long Beach, CA",1.00,1
48201410702,26420,Houston-The Woodlands-Sugar La,1.00,1
40109106401,36420,"Oklahoma City, OK",1.00,1
39035183300,17460,"Cleveland-Elyria, OH",1.00,1
48029180300,41700,"San Antonio-New Braunfels, TX",1.00,1
36061011401,35620,"New York-Newark-Jersey City, N",1.00,1
37119002701,16740,"Charlotte-Concord-Gastonia, NC",1.00,1
36119002201,35620,"New York-Newark-Jersey City, N",1.00,1
26163500900,19820,"Detroit-Warren-Dearborn, MI",1.00,1
36119002202,35620,"New York-Newark-Jersey City, N",1.00,1
20173003600,48620,"Wichita, KS",1.00,1
42079200700,42540,Scranton--Wilkes-Barre--Hazlet,1.00,1
39035183605,17460,"Cleveland-Elyria, OH",1.00,1
06037670328,31100,"Los Angeles-Long Beach, CA",1.00,1
39113020200,19380,"Dayton, OH",1.00,1
09003497300,25540,Hartford-West Hartford-East Ha,1.00,1
42071013503,29540,"Lancaster, PA",1.00,1
42091204300,37980,Philadelphia-Camden-Wilmington,1.00,1
06037301300,31100,"Los Angeles-Long Beach, CA",1.00,1
39035183401,17460,"Cleveland-Elyria, OH",1.00,1
39153507102,10420,"Akron, OH",1.00,1
